name1,season1,ppg1,apg1,rpg1,bpg1,spg1,tov1,gp1,mp1,sp1,name2,season2,ppg2,apg2,rpg2,bpg2,spg2,tov2,gp2,mp2,sp2,label
Bradley Beal,2018-19,25.6,5.5,5.0,1.5,0.7,2.7,82.0,36.9,0.475,Stephen Curry,2011-12,14.7,5.3,3.4,1.5,0.3,2.5,26.0,28.2,0.49,0.0
Stephen Curry,2011-12,14.7,5.3,3.4,1.5,0.3,2.5,26.0,28.2,0.49,Bradley Beal,2018-19,25.6,5.5,5.0,1.5,0.7,2.7,82.0,36.9,0.475,1.0
Bradley Beal,2019-20,30.5,6.1,4.2,1.2,0.4,3.4,57.0,36.0,0.455,Jayson Tatum,2018-19,15.7,2.1,6.0,1.1,0.7,1.5,79.0,31.1,0.45,0.5
Jayson Tatum,2018-19,15.7,2.1,6.0,1.1,0.7,1.5,79.0,31.1,0.45,Bradley Beal,2019-20,30.5,6.1,4.2,1.2,0.4,3.4,57.0,36.0,0.455,0.5
Bradley Beal,2020-21,31.3,4.4,4.7,1.2,0.4,3.1,60.0,35.8,0.485,Tim Duncan,2002-03,23.3,3.9,12.9,0.7,2.9,3.1,81.0,39.3,0.513,1.0
Tim Duncan,2002-03,23.3,3.9,12.9,0.7,2.9,3.1,81.0,39.3,0.513,Bradley Beal,2020-21,31.3,4.4,4.7,1.2,0.4,3.1,60.0,35.8,0.485,0.0
Bradley Beal,2021-22,22.5,5.9,4.7,0.9,0.3,3.4,22.0,35.7,0.437,Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,0.4
Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,Bradley Beal,2021-22,22.5,5.9,4.7,0.9,0.3,3.4,22.0,35.7,0.437,0.6
Bradley Beal,2021-22,22.5,5.9,4.7,0.9,0.3,3.4,22.0,35.7,0.437,Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,0.3333333333333333
Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,Bradley Beal,2021-22,22.5,5.9,4.7,0.9,0.3,3.4,22.0,35.7,0.437,0.6666666666666667
Bradley Beal,2021-22,22.5,5.9,4.7,0.9,0.3,3.4,22.0,35.7,0.437,Stephen Curry,2012-13,22.9,6.9,4.0,1.6,0.2,3.1,78.0,38.2,0.451,0.6666666666666666
Stephen Curry,2012-13,22.9,6.9,4.0,1.6,0.2,3.1,78.0,38.2,0.451,Bradley Beal,2021-22,22.5,5.9,4.7,0.9,0.3,3.4,22.0,35.7,0.437,0.33333333333333337
Chris Paul,2005-06,16.1,7.8,5.1,2.2,0.1,2.3,78.0,36.0,0.43,Damian Lillard,2021-22,21.5,7.8,4.0,0.7,0.4,2.6,20.0,35.7,0.397,0.0
Damian Lillard,2021-22,21.5,7.8,4.0,0.7,0.4,2.6,20.0,35.7,0.397,Chris Paul,2005-06,16.1,7.8,5.1,2.2,0.1,2.3,78.0,36.0,0.43,1.0
Chris Paul,2006-07,17.3,8.9,4.4,1.8,0.0,2.5,64.0,36.8,0.437,Damian Lillard,2016-17,27.0,5.9,4.9,0.9,0.3,2.6,75.0,35.9,0.444,1.0
Damian Lillard,2016-17,27.0,5.9,4.9,0.9,0.3,2.6,75.0,35.9,0.444,Chris Paul,2006-07,17.3,8.9,4.4,1.8,0.0,2.5,64.0,36.8,0.437,0.0
Chris Paul,2007-08,21.1,11.6,4.0,2.7,0.1,2.5,80.0,37.6,0.488,Devin Booker,2016-17,22.1,3.4,3.2,0.9,0.3,3.1,78.0,35.0,0.423,0.5
Devin Booker,2016-17,22.1,3.4,3.2,0.9,0.3,3.1,78.0,35.0,0.423,Chris Paul,2007-08,21.1,11.6,4.0,2.7,0.1,2.5,80.0,37.6,0.488,0.5
Chris Paul,2008-09,22.8,11.0,5.5,2.8,0.1,3.0,78.0,38.5,0.503,Rudy Gobert,2017-18,13.5,1.4,10.7,0.8,2.3,1.9,56.0,32.4,0.622,1.0
Rudy Gobert,2017-18,13.5,1.4,10.7,0.8,2.3,1.9,56.0,32.4,0.622,Chris Paul,2008-09,22.8,11.0,5.5,2.8,0.1,3.0,78.0,38.5,0.503,0.0
Chris Paul,2009-10,18.7,10.7,4.2,2.1,0.2,2.5,45.0,38.0,0.493,Kobe Bryant,1998-99,19.9,3.8,5.3,1.4,1.0,3.1,50.0,37.9,0.465,1.0
Kobe Bryant,1998-99,19.9,3.8,5.3,1.4,1.0,3.1,50.0,37.9,0.465,Chris Paul,2009-10,18.7,10.7,4.2,2.1,0.2,2.5,45.0,38.0,0.493,0.0
Chris Paul,2009-10,18.7,10.7,4.2,2.1,0.2,2.5,45.0,38.0,0.493,Paul George,2015-16,23.1,4.1,7.0,1.9,0.4,3.3,81.0,34.8,0.418,0.25
Paul George,2015-16,23.1,4.1,7.0,1.9,0.4,3.3,81.0,34.8,0.418,Chris Paul,2009-10,18.7,10.7,4.2,2.1,0.2,2.5,45.0,38.0,0.493,0.75
Chris Paul,2010-11,15.9,9.8,4.1,2.4,0.1,2.2,80.0,36.0,0.463,Luka Dončić,2020-21,27.7,8.6,8.0,1.0,0.5,4.3,66.0,34.3,0.479,0.3333333333333333
Luka Dončić,2020-21,27.7,8.6,8.0,1.0,0.5,4.3,66.0,34.3,0.479,Chris Paul,2010-11,15.9,9.8,4.1,2.4,0.1,2.2,80.0,36.0,0.463,0.6666666666666667
Chris Paul,2011-12,19.8,9.1,3.6,2.5,0.1,2.1,60.0,36.4,0.478,Kevin Durant,2008-09,25.3,2.8,6.5,1.3,0.7,3.0,74.0,39.0,0.476,0.0
Kevin Durant,2008-09,25.3,2.8,6.5,1.3,0.7,3.0,74.0,39.0,0.476,Chris Paul,2011-12,19.8,9.1,3.6,2.5,0.1,2.1,60.0,36.4,0.478,1.0
Chris Paul,2011-12,19.8,9.1,3.6,2.5,0.1,2.1,60.0,36.4,0.478,Zion Williamson,2019-20,22.5,2.1,6.3,0.7,0.4,2.5,24.0,27.8,0.583,1.0
Zion Williamson,2019-20,22.5,2.1,6.3,0.7,0.4,2.5,24.0,27.8,0.583,Chris Paul,2011-12,19.8,9.1,3.6,2.5,0.1,2.1,60.0,36.4,0.478,0.0
Chris Paul,2013-14,19.1,10.7,4.3,2.5,0.1,2.3,62.0,35.0,0.467,Rudy Gobert,2021-22,14.9,1.0,14.7,1.0,2.3,2.0,23.0,31.9,0.731,0.6666666666666666
Rudy Gobert,2021-22,14.9,1.0,14.7,1.0,2.3,2.0,23.0,31.9,0.731,Chris Paul,2013-14,19.1,10.7,4.3,2.5,0.1,2.3,62.0,35.0,0.467,0.33333333333333337
Chris Paul,2014-15,19.1,10.2,4.6,1.9,0.2,2.3,82.0,34.8,0.485,Kawhi Leonard,2013-14,12.8,2.0,6.2,1.7,0.8,1.2,66.0,29.1,0.522,0.25
Kawhi Leonard,2013-14,12.8,2.0,6.2,1.7,0.8,1.2,66.0,29.1,0.522,Chris Paul,2014-15,19.1,10.2,4.6,1.9,0.2,2.3,82.0,34.8,0.485,0.75
Chris Paul,2016-17,18.1,9.2,5.0,2.0,0.1,2.4,61.0,31.5,0.476,Giannis Antetokounmpo,2017-18,26.9,4.8,10.0,1.5,1.4,3.0,75.0,36.7,0.529,0.0
Giannis Antetokounmpo,2017-18,26.9,4.8,10.0,1.5,1.4,3.0,75.0,36.7,0.529,Chris Paul,2016-17,18.1,9.2,5.0,2.0,0.1,2.4,61.0,31.5,0.476,1.0
Chris Paul,2018-19,15.6,8.2,4.6,2.0,0.3,2.6,58.0,32.0,0.419,Stephen Curry,2021-22,27.5,6.5,5.7,1.8,0.5,3.1,22.0,34.4,0.437,1.0
Stephen Curry,2021-22,27.5,6.5,5.7,1.8,0.5,3.1,22.0,34.4,0.437,Chris Paul,2018-19,15.6,8.2,4.6,2.0,0.3,2.6,58.0,32.0,0.419,0.0
Chris Paul,2019-20,17.6,6.7,5.0,1.6,0.2,2.3,70.0,31.5,0.489,Jimmy Butler,2017-18,22.2,4.9,5.3,2.0,0.4,1.8,59.0,36.7,0.474,0.0
Jimmy Butler,2017-18,22.2,4.9,5.3,2.0,0.4,1.8,59.0,36.7,0.474,Chris Paul,2019-20,17.6,6.7,5.0,1.6,0.2,2.3,70.0,31.5,0.489,1.0
Damian Lillard,2012-13,19.0,6.5,3.1,0.9,0.2,3.0,82.0,38.6,0.429,Kevin Durant,2021-22,28.6,5.5,7.7,0.6,0.7,3.0,22.0,36.0,0.533,1.0
Kevin Durant,2021-22,28.6,5.5,7.7,0.6,0.7,3.0,22.0,36.0,0.533,Damian Lillard,2012-13,19.0,6.5,3.1,0.9,0.2,3.0,82.0,38.6,0.429,0.0
Damian Lillard,2013-14,20.7,5.6,3.5,0.8,0.3,2.4,82.0,35.8,0.424,Dwyane Wade,2008-09,30.2,7.5,5.0,2.2,1.3,3.4,79.0,38.6,0.491,0.0
Dwyane Wade,2008-09,30.2,7.5,5.0,2.2,1.3,3.4,79.0,38.6,0.491,Damian Lillard,2013-14,20.7,5.6,3.5,0.8,0.3,2.4,82.0,35.8,0.424,1.0
Damian Lillard,2013-14,20.7,5.6,3.5,0.8,0.3,2.4,82.0,35.8,0.424,Tim Duncan,2009-10,17.9,3.2,10.1,0.6,1.5,1.8,78.0,31.3,0.518,0.6666666666666666
Tim Duncan,2009-10,17.9,3.2,10.1,0.6,1.5,1.8,78.0,31.3,0.518,Damian Lillard,2013-14,20.7,5.6,3.5,0.8,0.3,2.4,82.0,35.8,0.424,0.33333333333333337
Damian Lillard,2014-15,21.0,6.2,4.6,1.2,0.3,2.7,82.0,35.7,0.434,Dirk Nowitzki,2012-13,17.3,2.5,6.8,0.7,0.7,1.3,53.0,31.3,0.471,0.5
Dirk Nowitzki,2012-13,17.3,2.5,6.8,0.7,0.7,1.3,53.0,31.3,0.471,Damian Lillard,2014-15,21.0,6.2,4.6,1.2,0.3,2.7,82.0,35.7,0.434,0.5
Damian Lillard,2014-15,21.0,6.2,4.6,1.2,0.3,2.7,82.0,35.7,0.434,Kobe Bryant,2003-04,24.0,5.1,5.5,1.7,0.4,2.6,65.0,37.6,0.438,1.0
Kobe Bryant,2003-04,24.0,5.1,5.5,1.7,0.4,2.6,65.0,37.6,0.438,Damian Lillard,2014-15,21.0,6.2,4.6,1.2,0.3,2.7,82.0,35.7,0.434,0.0
Damian Lillard,2015-16,25.1,6.8,4.0,0.9,0.4,3.2,75.0,35.7,0.419,Nikola Jokić,2017-18,18.5,6.1,10.7,1.2,0.8,2.8,75.0,32.6,0.499,0.5
Nikola Jokić,2017-18,18.5,6.1,10.7,1.2,0.8,2.8,75.0,32.6,0.499,Damian Lillard,2015-16,25.1,6.8,4.0,0.9,0.4,3.2,75.0,35.7,0.419,0.5
Damian Lillard,2015-16,25.1,6.8,4.0,0.9,0.4,3.2,75.0,35.7,0.419,Paul George,2016-17,23.7,3.3,6.6,1.6,0.4,2.9,75.0,35.9,0.461,0.6666666666666666
Paul George,2016-17,23.7,3.3,6.6,1.6,0.4,2.9,75.0,35.9,0.461,Damian Lillard,2015-16,25.1,6.8,4.0,0.9,0.4,3.2,75.0,35.7,0.419,0.33333333333333337
Damian Lillard,2015-16,25.1,6.8,4.0,0.9,0.4,3.2,75.0,35.7,0.419,Paul George,2017-18,21.9,3.3,5.7,2.0,0.5,2.7,79.0,36.6,0.43,0.0
Paul George,2017-18,21.9,3.3,5.7,2.0,0.5,2.7,79.0,36.6,0.43,Damian Lillard,2015-16,25.1,6.8,4.0,0.9,0.4,3.2,75.0,35.7,0.419,1.0
Damian Lillard,2016-17,27.0,5.9,4.9,0.9,0.3,2.6,75.0,35.9,0.444,Stephen Curry,2012-13,22.9,6.9,4.0,1.6,0.2,3.1,78.0,38.2,0.451,0.0
Stephen Curry,2012-13,22.9,6.9,4.0,1.6,0.2,3.1,78.0,38.2,0.451,Damian Lillard,2016-17,27.0,5.9,4.9,0.9,0.3,2.6,75.0,35.9,0.444,1.0
Damian Lillard,2017-18,26.9,6.6,4.5,1.1,0.4,2.8,73.0,36.6,0.439,Donovan Mitchell,2021-22,24.2,5.1,4.1,1.7,0.2,3.0,22.0,32.5,0.446,0.5
Donovan Mitchell,2021-22,24.2,5.1,4.1,1.7,0.2,3.0,22.0,32.5,0.446,Damian Lillard,2017-18,26.9,6.6,4.5,1.1,0.4,2.8,73.0,36.6,0.439,0.5
Damian Lillard,2017-18,26.9,6.6,4.5,1.1,0.4,2.8,73.0,36.6,0.439,Jayson Tatum,2017-18,13.9,1.6,5.0,1.0,0.7,1.4,80.0,30.5,0.475,0.0
Jayson Tatum,2017-18,13.9,1.6,5.0,1.0,0.7,1.4,80.0,30.5,0.475,Damian Lillard,2017-18,26.9,6.6,4.5,1.1,0.4,2.8,73.0,36.6,0.439,1.0
Damian Lillard,2017-18,26.9,6.6,4.5,1.1,0.4,2.8,73.0,36.6,0.439,Jayson Tatum,2020-21,26.4,4.3,7.4,1.2,0.5,2.7,64.0,35.8,0.459,0.0
Jayson Tatum,2020-21,26.4,4.3,7.4,1.2,0.5,2.7,64.0,35.8,0.459,Damian Lillard,2017-18,26.9,6.6,4.5,1.1,0.4,2.8,73.0,36.6,0.439,1.0
Damian Lillard,2017-18,26.9,6.6,4.5,1.1,0.4,2.8,73.0,36.6,0.439,Luka Dončić,2019-20,28.8,8.8,9.4,1.0,0.2,4.3,61.0,33.6,0.463,0.4
Luka Dončić,2019-20,28.8,8.8,9.4,1.0,0.2,4.3,61.0,33.6,0.463,Damian Lillard,2017-18,26.9,6.6,4.5,1.1,0.4,2.8,73.0,36.6,0.439,0.6
Damian Lillard,2018-19,25.8,6.9,4.6,1.1,0.4,2.7,80.0,35.5,0.444,Karl-Anthony Towns,2018-19,24.4,3.4,12.4,0.9,1.6,3.1,77.0,33.1,0.518,1.0
Karl-Anthony Towns,2018-19,24.4,3.4,12.4,0.9,1.6,3.1,77.0,33.1,0.518,Damian Lillard,2018-19,25.8,6.9,4.6,1.1,0.4,2.7,80.0,35.5,0.444,0.0
Damian Lillard,2018-19,25.8,6.9,4.6,1.1,0.4,2.7,80.0,35.5,0.444,Kyrie Irving,2013-14,20.8,6.1,3.6,1.5,0.3,2.7,71.0,35.2,0.43,0.6666666666666666
Kyrie Irving,2013-14,20.8,6.1,3.6,1.5,0.3,2.7,71.0,35.2,0.43,Damian Lillard,2018-19,25.8,6.9,4.6,1.1,0.4,2.7,80.0,35.5,0.444,0.33333333333333337
Damian Lillard,2018-19,25.8,6.9,4.6,1.1,0.4,2.7,80.0,35.5,0.444,Luka Dončić,2019-20,28.8,8.8,9.4,1.0,0.2,4.3,61.0,33.6,0.463,0.0
Luka Dončić,2019-20,28.8,8.8,9.4,1.0,0.2,4.3,61.0,33.6,0.463,Damian Lillard,2018-19,25.8,6.9,4.6,1.1,0.4,2.7,80.0,35.5,0.444,1.0
Damian Lillard,2018-19,25.8,6.9,4.6,1.1,0.4,2.7,80.0,35.5,0.444,Rudy Gobert,2021-22,14.9,1.0,14.7,1.0,2.3,2.0,23.0,31.9,0.731,0.0
Rudy Gobert,2021-22,14.9,1.0,14.7,1.0,2.3,2.0,23.0,31.9,0.731,Damian Lillard,2018-19,25.8,6.9,4.6,1.1,0.4,2.7,80.0,35.5,0.444,1.0
Damian Lillard,2019-20,30.0,8.0,4.3,1.1,0.3,2.9,66.0,37.5,0.463,Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,0.5
Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,Damian Lillard,2019-20,30.0,8.0,4.3,1.1,0.3,2.9,66.0,37.5,0.463,0.5
Damian Lillard,2019-20,30.0,8.0,4.3,1.1,0.3,2.9,66.0,37.5,0.463,Stephen Curry,2011-12,14.7,5.3,3.4,1.5,0.3,2.5,26.0,28.2,0.49,0.0
Stephen Curry,2011-12,14.7,5.3,3.4,1.5,0.3,2.5,26.0,28.2,0.49,Damian Lillard,2019-20,30.0,8.0,4.3,1.1,0.3,2.9,66.0,37.5,0.463,1.0
Damian Lillard,2020-21,28.8,7.5,4.2,0.9,0.3,3.0,67.0,35.8,0.451,Devin Booker,2018-19,26.6,6.8,4.1,0.9,0.2,4.1,64.0,35.0,0.467,1.0
Devin Booker,2018-19,26.6,6.8,4.1,0.9,0.2,4.1,64.0,35.0,0.467,Damian Lillard,2020-21,28.8,7.5,4.2,0.9,0.3,3.0,67.0,35.8,0.451,0.0
Damian Lillard,2020-21,28.8,7.5,4.2,0.9,0.3,3.0,67.0,35.8,0.451,LeBron James,2016-17,26.4,8.7,8.6,1.2,0.6,4.1,74.0,37.8,0.548,0.0
LeBron James,2016-17,26.4,8.7,8.6,1.2,0.6,4.1,74.0,37.8,0.548,Damian Lillard,2020-21,28.8,7.5,4.2,0.9,0.3,3.0,67.0,35.8,0.451,1.0
Damian Lillard,2020-21,28.8,7.5,4.2,0.9,0.3,3.0,67.0,35.8,0.451,Stephen Curry,2020-21,32.0,5.8,5.5,1.2,0.1,3.4,63.0,34.2,0.482,0.0
Stephen Curry,2020-21,32.0,5.8,5.5,1.2,0.1,3.4,63.0,34.2,0.482,Damian Lillard,2020-21,28.8,7.5,4.2,0.9,0.3,3.0,67.0,35.8,0.451,1.0
Damian Lillard,2021-22,21.5,7.8,4.0,0.7,0.4,2.6,20.0,35.7,0.397,Kawhi Leonard,2012-13,11.9,1.6,6.0,1.7,0.6,1.1,58.0,31.2,0.494,0.0
Kawhi Leonard,2012-13,11.9,1.6,6.0,1.7,0.6,1.1,58.0,31.2,0.494,Damian Lillard,2021-22,21.5,7.8,4.0,0.7,0.4,2.6,20.0,35.7,0.397,1.0
Devin Booker,2015-16,13.8,2.6,2.5,0.6,0.3,2.1,76.0,27.7,0.423,Donovan Mitchell,2017-18,20.5,3.7,3.7,1.5,0.3,2.7,79.0,33.4,0.437,1.0
Donovan Mitchell,2017-18,20.5,3.7,3.7,1.5,0.3,2.7,79.0,33.4,0.437,Devin Booker,2015-16,13.8,2.6,2.5,0.6,0.3,2.1,76.0,27.7,0.423,0.0
Devin Booker,2015-16,13.8,2.6,2.5,0.6,0.3,2.1,76.0,27.7,0.423,Stephen Curry,2018-19,27.3,5.2,5.3,1.3,0.4,2.8,69.0,33.8,0.472,0.0
Stephen Curry,2018-19,27.3,5.2,5.3,1.3,0.4,2.8,69.0,33.8,0.472,Devin Booker,2015-16,13.8,2.6,2.5,0.6,0.3,2.1,76.0,27.7,0.423,1.0
Devin Booker,2016-17,22.1,3.4,3.2,0.9,0.3,3.1,78.0,35.0,0.423,Donovan Mitchell,2019-20,24.0,4.3,4.4,1.0,0.2,2.7,69.0,34.3,0.449,1.0
Donovan Mitchell,2019-20,24.0,4.3,4.4,1.0,0.2,2.7,69.0,34.3,0.449,Devin Booker,2016-17,22.1,3.4,3.2,0.9,0.3,3.1,78.0,35.0,0.423,0.0
Devin Booker,2016-17,22.1,3.4,3.2,0.9,0.3,3.1,78.0,35.0,0.423,James Harden,2021-22,20.6,9.5,7.9,1.5,0.7,4.8,23.0,35.7,0.403,0.0
James Harden,2021-22,20.6,9.5,7.9,1.5,0.7,4.8,23.0,35.7,0.403,Devin Booker,2016-17,22.1,3.4,3.2,0.9,0.3,3.1,78.0,35.0,0.423,1.0
Devin Booker,2016-17,22.1,3.4,3.2,0.9,0.3,3.1,78.0,35.0,0.423,Kawhi Leonard,2013-14,12.8,2.0,6.2,1.7,0.8,1.2,66.0,29.1,0.522,0.0
Kawhi Leonard,2013-14,12.8,2.0,6.2,1.7,0.8,1.2,66.0,29.1,0.522,Devin Booker,2016-17,22.1,3.4,3.2,0.9,0.3,3.1,78.0,35.0,0.423,1.0
Devin Booker,2016-17,22.1,3.4,3.2,0.9,0.3,3.1,78.0,35.0,0.423,Stephen Curry,2014-15,23.8,7.7,4.3,2.0,0.2,3.1,80.0,32.7,0.487,0.25
Stephen Curry,2014-15,23.8,7.7,4.3,2.0,0.2,3.1,80.0,32.7,0.487,Devin Booker,2016-17,22.1,3.4,3.2,0.9,0.3,3.1,78.0,35.0,0.423,0.75
Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,0.0
Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,1.0
Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,Dwyane Wade,2009-10,26.6,6.5,4.8,1.8,1.1,3.3,77.0,36.3,0.476,0.0
Dwyane Wade,2009-10,26.6,6.5,4.8,1.8,1.1,3.3,77.0,36.3,0.476,Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,1.0
Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,Karl-Anthony Towns,2020-21,24.8,4.5,10.6,0.8,1.1,3.2,50.0,33.8,0.486,0.4
Karl-Anthony Towns,2020-21,24.8,4.5,10.6,0.8,1.1,3.2,50.0,33.8,0.486,Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,0.6
Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,Kobe Bryant,2003-04,24.0,5.1,5.5,1.7,0.4,2.6,65.0,37.6,0.438,0.0
Kobe Bryant,2003-04,24.0,5.1,5.5,1.7,0.4,2.6,65.0,37.6,0.438,Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,1.0
Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,Luka Dončić,2018-19,21.2,6.0,7.8,1.1,0.3,3.4,72.0,32.2,0.427,0.0
Luka Dončić,2018-19,21.2,6.0,7.8,1.1,0.3,3.4,72.0,32.2,0.427,Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,1.0
Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,Paul George,2021-22,25.1,5.5,7.3,1.8,0.4,4.3,23.0,35.7,0.419,0.3333333333333333
Paul George,2021-22,25.1,5.5,7.3,1.8,0.4,4.3,23.0,35.7,0.419,Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,0.6666666666666667
Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,Zion Williamson,2019-20,22.5,2.1,6.3,0.7,0.4,2.5,24.0,27.8,0.583,0.0
Zion Williamson,2019-20,22.5,2.1,6.3,0.7,0.4,2.5,24.0,27.8,0.583,Devin Booker,2017-18,24.9,4.7,4.5,0.9,0.3,3.6,54.0,34.5,0.432,1.0
Devin Booker,2018-19,26.6,6.8,4.1,0.9,0.2,4.1,64.0,35.0,0.467,Jayson Tatum,2017-18,13.9,1.6,5.0,1.0,0.7,1.4,80.0,30.5,0.475,0.5
Jayson Tatum,2017-18,13.9,1.6,5.0,1.0,0.7,1.4,80.0,30.5,0.475,Devin Booker,2018-19,26.6,6.8,4.1,0.9,0.2,4.1,64.0,35.0,0.467,0.5
Devin Booker,2018-19,26.6,6.8,4.1,0.9,0.2,4.1,64.0,35.0,0.467,Zion Williamson,2020-21,27.0,3.7,7.2,0.9,0.6,2.7,61.0,33.2,0.611,1.0
Zion Williamson,2020-21,27.0,3.7,7.2,0.9,0.6,2.7,61.0,33.2,0.611,Devin Booker,2018-19,26.6,6.8,4.1,0.9,0.2,4.1,64.0,35.0,0.467,0.0
Devin Booker,2019-20,26.6,6.5,4.2,0.7,0.3,3.8,70.0,35.9,0.489,Jaylen Brown,2018-19,13.0,1.4,4.2,0.9,0.4,1.3,74.0,25.9,0.465,0.75
