name1,season1,ppg1,apg1,rpg1,bpg1,spg1,tov1,gp1,mp1,sp1,name2,season2,ppg2,apg2,rpg2,bpg2,spg2,tov2,gp2,mp2,sp2,label
Jaylen Brown,2018-19,13.0,1.4,4.2,0.9,0.4,1.3,74.0,25.9,0.465,Devin Booker,2019-20,26.6,6.5,4.2,0.7,0.3,3.8,70.0,35.9,0.489,0.25
Devin Booker,2019-20,26.6,6.5,4.2,0.7,0.3,3.8,70.0,35.9,0.489,Jimmy Butler,2012-13,8.6,1.4,4.0,1.0,0.4,0.8,82.0,26.0,0.467,0.75
Jimmy Butler,2012-13,8.6,1.4,4.0,1.0,0.4,0.8,82.0,26.0,0.467,Devin Booker,2019-20,26.6,6.5,4.2,0.7,0.3,3.8,70.0,35.9,0.489,0.25
Devin Booker,2019-20,26.6,6.5,4.2,0.7,0.3,3.8,70.0,35.9,0.489,Joel Embiid,2019-20,23.0,3.0,11.6,0.9,1.3,3.1,51.0,29.5,0.477,1.0
Joel Embiid,2019-20,23.0,3.0,11.6,0.9,1.3,3.1,51.0,29.5,0.477,Devin Booker,2019-20,26.6,6.5,4.2,0.7,0.3,3.8,70.0,35.9,0.489,0.0
Devin Booker,2019-20,26.6,6.5,4.2,0.7,0.3,3.8,70.0,35.9,0.489,Zion Williamson,2020-21,27.0,3.7,7.2,0.9,0.6,2.7,61.0,33.2,0.611,1.0
Zion Williamson,2020-21,27.0,3.7,7.2,0.9,0.6,2.7,61.0,33.2,0.611,Devin Booker,2019-20,26.6,6.5,4.2,0.7,0.3,3.8,70.0,35.9,0.489,0.0
Devin Booker,2020-21,25.6,4.3,4.2,0.8,0.2,3.1,67.0,33.9,0.484,Rudy Gobert,2017-18,13.5,1.4,10.7,0.8,2.3,1.9,56.0,32.4,0.622,0.6666666666666666
Rudy Gobert,2017-18,13.5,1.4,10.7,0.8,2.3,1.9,56.0,32.4,0.622,Devin Booker,2020-21,25.6,4.3,4.2,0.8,0.2,3.1,67.0,33.9,0.484,0.33333333333333337
Devin Booker,2021-22,23.2,4.5,4.9,0.9,0.2,2.7,21.0,32.2,0.458,James Harden,2012-13,25.9,5.8,4.9,1.8,0.5,3.8,78.0,38.3,0.438,0.3333333333333333
James Harden,2012-13,25.9,5.8,4.9,1.8,0.5,3.8,78.0,38.3,0.438,Devin Booker,2021-22,23.2,4.5,4.9,0.9,0.2,2.7,21.0,32.2,0.458,0.6666666666666667
Devin Booker,2021-22,23.2,4.5,4.9,0.9,0.2,2.7,21.0,32.2,0.458,Jaylen Brown,2018-19,13.0,1.4,4.2,0.9,0.4,1.3,74.0,25.9,0.465,0.6666666666666666
Jaylen Brown,2018-19,13.0,1.4,4.2,0.9,0.4,1.3,74.0,25.9,0.465,Devin Booker,2021-22,23.2,4.5,4.9,0.9,0.2,2.7,21.0,32.2,0.458,0.33333333333333337
Devin Booker,2021-22,23.2,4.5,4.9,0.9,0.2,2.7,21.0,32.2,0.458,Kawhi Leonard,2017-18,16.2,2.3,4.7,2.0,1.0,1.8,9.0,23.3,0.468,0.0
Kawhi Leonard,2017-18,16.2,2.3,4.7,2.0,1.0,1.8,9.0,23.3,0.468,Devin Booker,2021-22,23.2,4.5,4.9,0.9,0.2,2.7,21.0,32.2,0.458,1.0
Devin Booker,2021-22,23.2,4.5,4.9,0.9,0.2,2.7,21.0,32.2,0.458,Paul George,2016-17,23.7,3.3,6.6,1.6,0.4,2.9,75.0,35.9,0.461,0.0
Paul George,2016-17,23.7,3.3,6.6,1.6,0.4,2.9,75.0,35.9,0.461,Devin Booker,2021-22,23.2,4.5,4.9,0.9,0.2,2.7,21.0,32.2,0.458,1.0
Devin Booker,2021-22,23.2,4.5,4.9,0.9,0.2,2.7,21.0,32.2,0.458,Rudy Gobert,2020-21,14.3,1.3,13.5,0.6,2.7,1.7,71.0,30.8,0.675,1.0
Rudy Gobert,2020-21,14.3,1.3,13.5,0.6,2.7,1.7,71.0,30.8,0.675,Devin Booker,2021-22,23.2,4.5,4.9,0.9,0.2,2.7,21.0,32.2,0.458,0.0
Dirk Nowitzki,1998-99,8.2,1.0,3.4,0.6,0.6,1.6,47.0,20.4,0.405,Kyrie Irving,2013-14,20.8,6.1,3.6,1.5,0.3,2.7,71.0,35.2,0.43,0.6666666666666666
Kyrie Irving,2013-14,20.8,6.1,3.6,1.5,0.3,2.7,71.0,35.2,0.43,Dirk Nowitzki,1998-99,8.2,1.0,3.4,0.6,0.6,1.6,47.0,20.4,0.405,0.33333333333333337
Dirk Nowitzki,1999-00,17.5,2.5,6.5,0.8,0.8,1.7,82.0,35.8,0.461,Jayson Tatum,2020-21,26.4,4.3,7.4,1.2,0.5,2.7,64.0,35.8,0.459,0.6666666666666666
Jayson Tatum,2020-21,26.4,4.3,7.4,1.2,0.5,2.7,64.0,35.8,0.459,Dirk Nowitzki,1999-00,17.5,2.5,6.5,0.8,0.8,1.7,82.0,35.8,0.461,0.33333333333333337
Dirk Nowitzki,2002-03,25.1,3.0,9.9,1.4,1.0,1.9,80.0,39.0,0.463,Kyrie Irving,2017-18,24.4,5.1,3.8,1.1,0.3,2.3,60.0,32.2,0.491,0.25
Kyrie Irving,2017-18,24.4,5.1,3.8,1.1,0.3,2.3,60.0,32.2,0.491,Dirk Nowitzki,2002-03,25.1,3.0,9.9,1.4,1.0,1.9,80.0,39.0,0.463,0.75
Dirk Nowitzki,2002-03,25.1,3.0,9.9,1.4,1.0,1.9,80.0,39.0,0.463,Stephen Curry,2011-12,14.7,5.3,3.4,1.5,0.3,2.5,26.0,28.2,0.49,0.75
Stephen Curry,2011-12,14.7,5.3,3.4,1.5,0.3,2.5,26.0,28.2,0.49,Dirk Nowitzki,2002-03,25.1,3.0,9.9,1.4,1.0,1.9,80.0,39.0,0.463,0.25
Dirk Nowitzki,2003-04,21.8,2.7,8.7,1.2,1.4,1.8,77.0,37.9,0.462,Paul George,2012-13,17.4,4.1,7.6,1.8,0.6,2.9,79.0,37.6,0.419,1.0
Paul George,2012-13,17.4,4.1,7.6,1.8,0.6,2.9,79.0,37.6,0.419,Dirk Nowitzki,2003-04,21.8,2.7,8.7,1.2,1.4,1.8,77.0,37.9,0.462,0.0
Dirk Nowitzki,2003-04,21.8,2.7,8.7,1.2,1.4,1.8,77.0,37.9,0.462,Zion Williamson,2020-21,27.0,3.7,7.2,0.9,0.6,2.7,61.0,33.2,0.611,0.5
Zion Williamson,2020-21,27.0,3.7,7.2,0.9,0.6,2.7,61.0,33.2,0.611,Dirk Nowitzki,2003-04,21.8,2.7,8.7,1.2,1.4,1.8,77.0,37.9,0.462,0.5
Dirk Nowitzki,2007-08,23.6,3.5,8.6,0.7,0.9,2.1,77.0,36.0,0.479,James Harden,2020-21,24.6,10.8,7.9,1.2,0.8,4.0,44.0,36.6,0.466,0.0
James Harden,2020-21,24.6,10.8,7.9,1.2,0.8,4.0,44.0,36.6,0.466,Dirk Nowitzki,2007-08,23.6,3.5,8.6,0.7,0.9,2.1,77.0,36.0,0.479,1.0
Dirk Nowitzki,2008-09,25.9,2.4,8.4,0.8,0.8,1.9,81.0,37.7,0.479,LeBron James,2013-14,27.1,6.3,6.9,1.6,0.3,3.5,77.0,37.7,0.567,0.0
LeBron James,2013-14,27.1,6.3,6.9,1.6,0.3,3.5,77.0,37.7,0.567,Dirk Nowitzki,2008-09,25.9,2.4,8.4,0.8,0.8,1.9,81.0,37.7,0.479,1.0
Dirk Nowitzki,2012-13,17.3,2.5,6.8,0.7,0.7,1.3,53.0,31.3,0.471,Rudy Gobert,2014-15,8.4,1.3,9.5,0.8,2.3,1.4,82.0,26.3,0.604,1.0
Rudy Gobert,2014-15,8.4,1.3,9.5,0.8,2.3,1.4,82.0,26.3,0.604,Dirk Nowitzki,2012-13,17.3,2.5,6.8,0.7,0.7,1.3,53.0,31.3,0.471,0.0
Dirk Nowitzki,2013-14,21.7,2.7,6.2,0.9,0.6,1.5,80.0,32.9,0.497,Dwyane Wade,2017-18,11.4,3.4,3.8,0.9,0.7,2.1,67.0,22.9,0.438,0.5
Dwyane Wade,2017-18,11.4,3.4,3.8,0.9,0.7,2.1,67.0,22.9,0.438,Dirk Nowitzki,2013-14,21.7,2.7,6.2,0.9,0.6,1.5,80.0,32.9,0.497,0.5
Dirk Nowitzki,2013-14,21.7,2.7,6.2,0.9,0.6,1.5,80.0,32.9,0.497,LeBron James,2012-13,26.8,7.3,8.0,1.7,0.9,3.0,76.0,37.9,0.565,0.25
LeBron James,2012-13,26.8,7.3,8.0,1.7,0.9,3.0,76.0,37.9,0.565,Dirk Nowitzki,2013-14,21.7,2.7,6.2,0.9,0.6,1.5,80.0,32.9,0.497,0.75
Dirk Nowitzki,2013-14,21.7,2.7,6.2,0.9,0.6,1.5,80.0,32.9,0.497,Luka Dončić,2019-20,28.8,8.8,9.4,1.0,0.2,4.3,61.0,33.6,0.463,1.0
Luka Dončić,2019-20,28.8,8.8,9.4,1.0,0.2,4.3,61.0,33.6,0.463,Dirk Nowitzki,2013-14,21.7,2.7,6.2,0.9,0.6,1.5,80.0,32.9,0.497,0.0
Dirk Nowitzki,2014-15,17.3,1.9,5.9,0.5,0.4,1.1,77.0,29.6,0.459,LeBron James,2006-07,27.3,6.0,6.7,1.6,0.7,3.2,78.0,40.9,0.476,1.0
LeBron James,2006-07,27.3,6.0,6.7,1.6,0.7,3.2,78.0,40.9,0.476,Dirk Nowitzki,2014-15,17.3,1.9,5.9,0.5,0.4,1.1,77.0,29.6,0.459,0.0
Dirk Nowitzki,2014-15,17.3,1.9,5.9,0.5,0.4,1.1,77.0,29.6,0.459,Stephen Curry,2016-17,25.3,6.6,4.5,1.8,0.2,3.0,79.0,33.4,0.468,1.0
Stephen Curry,2016-17,25.3,6.6,4.5,1.8,0.2,3.0,79.0,33.4,0.468,Dirk Nowitzki,2014-15,17.3,1.9,5.9,0.5,0.4,1.1,77.0,29.6,0.459,0.0
Dirk Nowitzki,2015-16,18.3,1.8,6.5,0.7,0.7,1.1,75.0,31.5,0.448,LeBron James,2021-22,25.6,6.8,5.7,1.8,0.7,3.7,12.0,36.9,0.475,1.0
LeBron James,2021-22,25.6,6.8,5.7,1.8,0.7,3.7,12.0,36.9,0.475,Dirk Nowitzki,2015-16,18.3,1.8,6.5,0.7,0.7,1.1,75.0,31.5,0.448,0.0
Dirk Nowitzki,2015-16,18.3,1.8,6.5,0.7,0.7,1.1,75.0,31.5,0.448,Stephen Curry,2019-20,20.8,6.6,5.2,1.0,0.4,3.2,5.0,27.8,0.402,0.0
Stephen Curry,2019-20,20.8,6.6,5.2,1.0,0.4,3.2,5.0,27.8,0.402,Dirk Nowitzki,2015-16,18.3,1.8,6.5,0.7,0.7,1.1,75.0,31.5,0.448,1.0
Dirk Nowitzki,2016-17,14.2,1.5,6.5,0.6,0.7,0.9,54.0,26.4,0.437,James Harden,2020-21,24.6,10.8,7.9,1.2,0.8,4.0,44.0,36.6,0.466,1.0
James Harden,2020-21,24.6,10.8,7.9,1.2,0.8,4.0,44.0,36.6,0.466,Dirk Nowitzki,2016-17,14.2,1.5,6.5,0.6,0.7,0.9,54.0,26.4,0.437,0.0
Donovan Mitchell,2017-18,20.5,3.7,3.7,1.5,0.3,2.7,79.0,33.4,0.437,Dwyane Wade,2009-10,26.6,6.5,4.8,1.8,1.1,3.3,77.0,36.3,0.476,0.0
Dwyane Wade,2009-10,26.6,6.5,4.8,1.8,1.1,3.3,77.0,36.3,0.476,Donovan Mitchell,2017-18,20.5,3.7,3.7,1.5,0.3,2.7,79.0,33.4,0.437,1.0
Donovan Mitchell,2017-18,20.5,3.7,3.7,1.5,0.3,2.7,79.0,33.4,0.437,Kawhi Leonard,2015-16,21.2,2.6,6.8,1.8,1.0,1.5,72.0,33.1,0.506,0.0
Kawhi Leonard,2015-16,21.2,2.6,6.8,1.8,1.0,1.5,72.0,33.1,0.506,Donovan Mitchell,2017-18,20.5,3.7,3.7,1.5,0.3,2.7,79.0,33.4,0.437,1.0
Donovan Mitchell,2017-18,20.5,3.7,3.7,1.5,0.3,2.7,79.0,33.4,0.437,Tim Duncan,2015-16,8.6,2.7,7.3,0.8,1.3,1.5,61.0,25.2,0.488,0.6666666666666666
Tim Duncan,2015-16,8.6,2.7,7.3,0.8,1.3,1.5,61.0,25.2,0.488,Donovan Mitchell,2017-18,20.5,3.7,3.7,1.5,0.3,2.7,79.0,33.4,0.437,0.33333333333333337
Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,Karl-Anthony Towns,2016-17,25.1,2.7,12.3,0.7,1.3,2.6,82.0,37.0,0.542,0.6666666666666666
Karl-Anthony Towns,2016-17,25.1,2.7,12.3,0.7,1.3,2.6,82.0,37.0,0.542,Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,0.33333333333333337
Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,Kawhi Leonard,2012-13,11.9,1.6,6.0,1.7,0.6,1.1,58.0,31.2,0.494,0.5
Kawhi Leonard,2012-13,11.9,1.6,6.0,1.7,0.6,1.1,58.0,31.2,0.494,Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,0.5
Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,Paul George,2015-16,23.1,4.1,7.0,1.9,0.4,3.3,81.0,34.8,0.418,0.6666666666666666
Paul George,2015-16,23.1,4.1,7.0,1.9,0.4,3.3,81.0,34.8,0.418,Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,0.33333333333333337
Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,Rudy Gobert,2015-16,9.1,1.5,11.0,0.7,2.2,1.9,61.0,31.7,0.559,0.0
Rudy Gobert,2015-16,9.1,1.5,11.0,0.7,2.2,1.9,61.0,31.7,0.559,Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,1.0
Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,Stephen Curry,2016-17,25.3,6.6,4.5,1.8,0.2,3.0,79.0,33.4,0.468,0.0
Stephen Curry,2016-17,25.3,6.6,4.5,1.8,0.2,3.0,79.0,33.4,0.468,Donovan Mitchell,2018-19,23.8,4.2,4.1,1.4,0.4,2.8,77.0,33.7,0.432,1.0
Donovan Mitchell,2019-20,24.0,4.3,4.4,1.0,0.2,2.7,69.0,34.3,0.449,Jimmy Butler,2021-22,23.6,5.3,5.8,2.1,0.3,1.9,17.0,34.2,0.519,0.4
Jimmy Butler,2021-22,23.6,5.3,5.8,2.1,0.3,1.9,17.0,34.2,0.519,Donovan Mitchell,2019-20,24.0,4.3,4.4,1.0,0.2,2.7,69.0,34.3,0.449,0.6
Donovan Mitchell,2019-20,24.0,4.3,4.4,1.0,0.2,2.7,69.0,34.3,0.449,Kobe Bryant,1996-97,7.6,1.3,1.9,0.7,0.3,1.6,71.0,15.5,0.417,0.0
Kobe Bryant,1996-97,7.6,1.3,1.9,0.7,0.3,1.6,71.0,15.5,0.417,Donovan Mitchell,2019-20,24.0,4.3,4.4,1.0,0.2,2.7,69.0,34.3,0.449,1.0
Donovan Mitchell,2020-21,26.4,5.2,4.4,1.0,0.3,2.8,53.0,33.4,0.438,James Harden,2018-19,36.1,7.5,6.6,2.0,0.7,5.0,78.0,36.8,0.442,0.25
James Harden,2018-19,36.1,7.5,6.6,2.0,0.7,5.0,78.0,36.8,0.442,Donovan Mitchell,2020-21,26.4,5.2,4.4,1.0,0.3,2.8,53.0,33.4,0.438,0.75
Donovan Mitchell,2020-21,26.4,5.2,4.4,1.0,0.3,2.8,53.0,33.4,0.438,LeBron James,2019-20,25.3,10.2,7.8,1.2,0.5,3.9,67.0,34.6,0.493,0.0
LeBron James,2019-20,25.3,10.2,7.8,1.2,0.5,3.9,67.0,34.6,0.493,Donovan Mitchell,2020-21,26.4,5.2,4.4,1.0,0.3,2.8,53.0,33.4,0.438,1.0
Donovan Mitchell,2020-21,26.4,5.2,4.4,1.0,0.3,2.8,53.0,33.4,0.438,Nikola Jokić,2018-19,20.1,7.3,10.8,1.4,0.7,3.1,80.0,31.3,0.511,0.3333333333333333
Nikola Jokić,2018-19,20.1,7.3,10.8,1.4,0.7,3.1,80.0,31.3,0.511,Donovan Mitchell,2020-21,26.4,5.2,4.4,1.0,0.3,2.8,53.0,33.4,0.438,0.6666666666666667
Donovan Mitchell,2020-21,26.4,5.2,4.4,1.0,0.3,2.8,53.0,33.4,0.438,Zion Williamson,2019-20,22.5,2.1,6.3,0.7,0.4,2.5,24.0,27.8,0.583,0.0
Zion Williamson,2019-20,22.5,2.1,6.3,0.7,0.4,2.5,24.0,27.8,0.583,Donovan Mitchell,2020-21,26.4,5.2,4.4,1.0,0.3,2.8,53.0,33.4,0.438,1.0
Donovan Mitchell,2021-22,24.2,5.1,4.1,1.7,0.2,3.0,22.0,32.5,0.446,Giannis Antetokounmpo,2018-19,27.7,5.9,12.5,1.3,1.5,3.7,72.0,32.8,0.578,0.0
Giannis Antetokounmpo,2018-19,27.7,5.9,12.5,1.3,1.5,3.7,72.0,32.8,0.578,Donovan Mitchell,2021-22,24.2,5.1,4.1,1.7,0.2,3.0,22.0,32.5,0.446,1.0
Donovan Mitchell,2021-22,24.2,5.1,4.1,1.7,0.2,3.0,22.0,32.5,0.446,Tim Duncan,1998-99,21.7,2.4,11.4,0.9,2.5,2.9,50.0,39.3,0.495,1.0
Tim Duncan,1998-99,21.7,2.4,11.4,0.9,2.5,2.9,50.0,39.3,0.495,Donovan Mitchell,2021-22,24.2,5.1,4.1,1.7,0.2,3.0,22.0,32.5,0.446,0.0
Dwyane Wade,2003-04,16.2,4.5,4.0,1.4,0.6,3.2,61.0,34.9,0.465,Kawhi Leonard,2012-13,11.9,1.6,6.0,1.7,0.6,1.1,58.0,31.2,0.494,0.75
Kawhi Leonard,2012-13,11.9,1.6,6.0,1.7,0.6,1.1,58.0,31.2,0.494,Dwyane Wade,2003-04,16.2,4.5,4.0,1.4,0.6,3.2,61.0,34.9,0.465,0.25
Dwyane Wade,2003-04,16.2,4.5,4.0,1.4,0.6,3.2,61.0,34.9,0.465,Kyrie Irving,2013-14,20.8,6.1,3.6,1.5,0.3,2.7,71.0,35.2,0.43,0.6666666666666666
Kyrie Irving,2013-14,20.8,6.1,3.6,1.5,0.3,2.7,71.0,35.2,0.43,Dwyane Wade,2003-04,16.2,4.5,4.0,1.4,0.6,3.2,61.0,34.9,0.465,0.33333333333333337
Dwyane Wade,2004-05,24.1,6.8,5.2,1.6,1.1,4.2,77.0,38.6,0.478,Luka Dončić,2021-22,25.4,8.5,8.1,1.1,0.6,4.6,18.0,34.7,0.445,1.0
Luka Dončić,2021-22,25.4,8.5,8.1,1.1,0.6,4.6,18.0,34.7,0.445,Dwyane Wade,2004-05,24.1,6.8,5.2,1.6,1.1,4.2,77.0,38.6,0.478,0.0
Dwyane Wade,2005-06,27.2,6.7,5.7,1.9,0.8,3.6,75.0,38.6,0.495,Nikola Jokić,2016-17,16.7,4.9,9.8,0.8,0.8,2.3,73.0,27.9,0.578,1.0
Nikola Jokić,2016-17,16.7,4.9,9.8,0.8,0.8,2.3,73.0,27.9,0.578,Dwyane Wade,2005-06,27.2,6.7,5.7,1.9,0.8,3.6,75.0,38.6,0.495,0.0
Dwyane Wade,2009-10,26.6,6.5,4.8,1.8,1.1,3.3,77.0,36.3,0.476,Luka Dončić,2018-19,21.2,6.0,7.8,1.1,0.3,3.4,72.0,32.2,0.427,0.5
Luka Dončić,2018-19,21.2,6.0,7.8,1.1,0.3,3.4,72.0,32.2,0.427,Dwyane Wade,2009-10,26.6,6.5,4.8,1.8,1.1,3.3,77.0,36.3,0.476,0.5
Dwyane Wade,2009-10,26.6,6.5,4.8,1.8,1.1,3.3,77.0,36.3,0.476,Nikola Jokić,2015-16,10.0,2.4,7.0,1.0,0.6,1.3,80.0,21.7,0.512,1.0
Nikola Jokić,2015-16,10.0,2.4,7.0,1.0,0.6,1.3,80.0,21.7,0.512,Dwyane Wade,2009-10,26.6,6.5,4.8,1.8,1.1,3.3,77.0,36.3,0.476,0.0
Dwyane Wade,2009-10,26.6,6.5,4.8,1.8,1.1,3.3,77.0,36.3,0.476,Stephen Curry,2009-10,17.5,5.9,4.5,1.9,0.2,3.0,80.0,36.2,0.462,0.0
Stephen Curry,2009-10,17.5,5.9,4.5,1.9,0.2,3.0,80.0,36.2,0.462,Dwyane Wade,2009-10,26.6,6.5,4.8,1.8,1.1,3.3,77.0,36.3,0.476,1.0
Dwyane Wade,2010-11,25.5,4.6,6.4,1.5,1.1,3.1,76.0,37.1,0.5,Jayson Tatum,2019-20,23.4,3.0,7.0,1.4,0.9,2.3,66.0,34.3,0.45,0.75
Jayson Tatum,2019-20,23.4,3.0,7.0,1.4,0.9,2.3,66.0,34.3,0.45,Dwyane Wade,2010-11,25.5,4.6,6.4,1.5,1.1,3.1,76.0,37.1,0.5,0.25
Dwyane Wade,2010-11,25.5,4.6,6.4,1.5,1.1,3.1,76.0,37.1,0.5,Jimmy Butler,2018-19,18.7,4.0,5.3,1.9,0.6,1.5,65.0,33.6,0.462,0.75
Jimmy Butler,2018-19,18.7,4.0,5.3,1.9,0.6,1.5,65.0,33.6,0.462,Dwyane Wade,2010-11,25.5,4.6,6.4,1.5,1.1,3.1,76.0,37.1,0.5,0.25
Dwyane Wade,2010-11,25.5,4.6,6.4,1.5,1.1,3.1,76.0,37.1,0.5,LeBron James,2021-22,25.6,6.8,5.7,1.8,0.7,3.7,12.0,36.9,0.475,0.0
LeBron James,2021-22,25.6,6.8,5.7,1.8,0.7,3.7,12.0,36.9,0.475,Dwyane Wade,2010-11,25.5,4.6,6.4,1.5,1.1,3.1,76.0,37.1,0.5,1.0
Dwyane Wade,2010-11,25.5,4.6,6.4,1.5,1.1,3.1,76.0,37.1,0.5,Paul George,2017-18,21.9,3.3,5.7,2.0,0.5,2.7,79.0,36.6,0.43,0.5
Paul George,2017-18,21.9,3.3,5.7,2.0,0.5,2.7,79.0,36.6,0.43,Dwyane Wade,2010-11,25.5,4.6,6.4,1.5,1.1,3.1,76.0,37.1,0.5,0.5
Dwyane Wade,2014-15,21.5,4.8,3.5,1.2,0.3,3.4,62.0,31.8,0.47,Jimmy Butler,2011-12,2.6,0.3,1.3,0.3,0.1,0.3,42.0,8.5,0.405,0.5
Jimmy Butler,2011-12,2.6,0.3,1.3,0.3,0.1,0.3,42.0,8.5,0.405,Dwyane Wade,2014-15,21.5,4.8,3.5,1.2,0.3,3.4,62.0,31.8,0.47,0.5
Giannis Antetokounmpo,2013-14,6.8,1.9,4.4,0.8,0.8,1.6,77.0,24.6,0.414,Nikola Jokić,2018-19,20.1,7.3,10.8,1.4,0.7,3.1,80.0,31.3,0.511,1.0
Nikola Jokić,2018-19,20.1,7.3,10.8,1.4,0.7,3.1,80.0,31.3,0.511,Giannis Antetokounmpo,2013-14,6.8,1.9,4.4,0.8,0.8,1.6,77.0,24.6,0.414,0.0
Giannis Antetokounmpo,2014-15,12.7,2.6,6.7,0.9,1.0,2.1,81.0,31.4,0.491,Kawhi Leonard,2012-13,11.9,1.6,6.0,1.7,0.6,1.1,58.0,31.2,0.494,0.0
Kawhi Leonard,2012-13,11.9,1.6,6.0,1.7,0.6,1.1,58.0,31.2,0.494,Giannis Antetokounmpo,2014-15,12.7,2.6,6.7,0.9,1.0,2.1,81.0,31.4,0.491,1.0
Giannis Antetokounmpo,2014-15,12.7,2.6,6.7,0.9,1.0,2.1,81.0,31.4,0.491,LeBron James,2004-05,27.2,7.2,7.4,2.2,0.7,3.3,80.0,42.4,0.472,0.5
LeBron James,2004-05,27.2,7.2,7.4,2.2,0.7,3.3,80.0,42.4,0.472,Giannis Antetokounmpo,2014-15,12.7,2.6,6.7,0.9,1.0,2.1,81.0,31.4,0.491,0.5
Giannis Antetokounmpo,2014-15,12.7,2.6,6.7,0.9,1.0,2.1,81.0,31.4,0.491,Paul George,2010-11,7.8,1.1,3.7,1.0,0.4,1.1,61.0,20.7,0.453,0.25
Paul George,2010-11,7.8,1.1,3.7,1.0,0.4,1.1,61.0,20.7,0.453,Giannis Antetokounmpo,2014-15,12.7,2.6,6.7,0.9,1.0,2.1,81.0,31.4,0.491,0.75
